               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.020843,           0.0084782,          0.00056087,             0.99791,                   1,               0.995,             0.84741,            0.014496,           0.0030426,          0.00041548,           0.0073072,           0.0073072,           0.0073072
                 138,            0.021496,           0.0084221,          0.00084972,             0.99711,                   1,               0.995,             0.85431,            0.014499,           0.0031449,          0.00040885,           0.0072874,           0.0072874,           0.0072874
                 139,            0.021686,           0.0089641,          0.00098217,             0.99612,                   1,               0.995,             0.86187,            0.013928,           0.0031002,          0.00049312,           0.0072676,           0.0072676,           0.0072676
                 140,            0.020553,           0.0088638,          0.00080513,              0.9956,                   1,               0.995,             0.86974,            0.014088,           0.0029335,           0.0005499,           0.0072478,           0.0072478,           0.0072478
                 141,            0.020991,           0.0082919,          0.00076974,             0.99536,                   1,               0.995,             0.88073,            0.013414,           0.0029157,          0.00056939,            0.007228,            0.007228,            0.007228
                 142,            0.020428,           0.0084754,           0.0012827,             0.99615,             0.99533,               0.995,             0.85165,            0.014572,           0.0029807,          0.00057709,           0.0072082,           0.0072082,           0.0072082
                 143,            0.021404,           0.0089121,          0.00075575,             0.98964,             0.99533,             0.99491,             0.87864,            0.013271,           0.0028113,          0.00053276,           0.0071884,           0.0071884,           0.0071884
                 144,            0.020962,            0.008985,          0.00085158,             0.99825,             0.99857,               0.995,             0.86496,            0.014143,           0.0028412,          0.00047318,           0.0071686,           0.0071686,           0.0071686
                 145,            0.019288,           0.0086477,           0.0008145,             0.99825,                   1,               0.995,             0.88316,            0.013423,           0.0028101,          0.00041406,           0.0071488,           0.0071488,           0.0071488
                 146,            0.018806,           0.0081706,          0.00045266,             0.99818,                   1,               0.995,             0.89026,            0.012896,           0.0028101,          0.00037208,            0.007129,            0.007129,            0.007129
                 147,            0.019879,           0.0083134,          0.00054041,             0.99793,                   1,               0.995,             0.89585,             0.01327,           0.0029614,          0.00036107,           0.0071092,           0.0071092,           0.0071092
                 148,            0.020911,           0.0086632,          0.00052141,             0.99794,                   1,               0.995,             0.87864,            0.013404,           0.0028993,          0.00040546,           0.0070894,           0.0070894,           0.0070894
                 149,            0.018373,           0.0082192,          0.00061489,              0.9979,                   1,               0.995,             0.86155,            0.014874,           0.0031296,          0.00046082,           0.0070696,           0.0070696,           0.0070696
                 150,            0.020592,           0.0085824,          0.00096176,             0.99805,                   1,               0.995,             0.88275,            0.014103,           0.0029723,          0.00048288,           0.0070498,           0.0070498,           0.0070498
                 151,               0.019,           0.0079872,          0.00082021,              0.9983,                   1,               0.995,             0.89245,            0.012409,           0.0028925,          0.00046434,             0.00703,             0.00703,             0.00703
                 152,            0.018864,           0.0086402,          0.00066938,             0.99826,                   1,               0.995,             0.87359,            0.014159,           0.0030226,          0.00044469,           0.0070102,           0.0070102,           0.0070102
                 153,            0.020556,           0.0087801,          0.00084065,              0.9984,                   1,               0.995,             0.85247,            0.015006,           0.0029422,          0.00042608,           0.0069904,           0.0069904,           0.0069904
